Tanque,pH,Temperatura_C,Fecha,Hora,Jornada,Fecha_Hora,evento_externo,estado
Tanque 5,7.08,19.45,2025-02-19,15:20:00,Tarde,2025-02-19 15:20:00,Ninguno,0
Tanque 6,6.97,19.52,2025-02-19,15:25:00,Tarde,2025-02-19 15:25:00,Ninguno,0
Tanque 7,6.98,19.54,2025-02-19,15:30:00,Tarde,2025-02-19 15:30:00,Ninguno,0
Tanque 9,7.04,19.21,2025-02-19,15:40:00,Tarde,2025-02-19 15:40:00,Ninguno,0
Tanque 10,7.03,18.63,2025-02-19,15:45:00,Tarde,2025-02-19 15:45:00,Ninguno,0
Tanque 1,7.06,19.31,2025-02-20,08:25:00,Dia,2025-02-20 08:25:00,Ninguno,0
Tanque 2,6.97,18.91,2025-02-20,08:30:00,Dia,2025-02-20 08:30:00,Ninguno,0
Tanque 3,7.01,19.14,2025-02-20,08:35:00,Dia,2025-02-20 08:35:00,Ninguno,0
Tanque 5,6.98,18.81,2025-02-20,08:45:00,Dia,2025-02-20 08:45:00,Ninguno,0
Tanque 6,7.04,19.02,2025-02-20,08:50:00,Dia,2025-02-20 08:50:00,Ninguno,0
Tanque 7,6.96,19.24,2025-02-20,08:55:00,Dia,2025-02-20 08:55:00,Ninguno,0
Tanque 8,7.18,20.19,2025-02-20,09:00:00,Dia,2025-02-20 09:00:00,Ninguno,1
Tanque 9,7.0,19.07,2025-02-20,09:05:00,Dia,2025-02-20 09:05:00,Ninguno,0
Tanque 10,7.02,18.05,2025-02-20,09:10:00,Dia,2025-02-20 09:10:00,Ninguno,0
Tanque 2,6.95,18.24,2025-02-20,15:05:00,Tarde,2025-02-20 15:05:00,Ninguno,0
Tanque 3,7.05,19.42,2025-02-20,15:10:00,Tarde,2025-02-20 15:10:00,Ninguno,0
Tanque 4,6.99,18.92,2025-02-20,15:15:00,Tarde,2025-02-20 15:15:00,Ninguno,0
Tanque 5,6.78,18.75,2025-02-20,15:20:00,Tarde,2025-02-20 15:20:00,Ninguno,0
Tanque 6,6.97,19.46,2025-02-20,15:25:00,Tarde,2025-02-20 15:25:00,Ninguno,0
Tanque 7,6.95,19.32,2025-02-20,15:30:00,Tarde,2025-02-20 15:30:00,Ninguno,0
Tanque 8,7.06,20.31,2025-02-20,15:35:00,Tarde,2025-02-20 15:35:00,Ninguno,1
Tanque 9,6.98,19.11,2025-02-20,15:40:00,Tarde,2025-02-20 15:40:00,Ninguno,0
Tanque 10,7.12,18.81,2025-02-20,15:45:00,Tarde,2025-02-20 15:45:00,Ninguno,0
Tanque 1,6.99,19.59,2025-02-21,08:25:00,Dia,2025-02-21 08:25:00,Ninguno,0
Tanque 2,6.94,18.69,2025-02-21,08:30:00,Dia,2025-02-21 08:30:00,Ninguno,0
Tanque 3,6.88,19.07,2025-02-21,08:35:00,Dia,2025-02-21 08:35:00,Ninguno,0
Tanque 4,6.79,18.1,2025-02-21,08:40:00,Dia,2025-02-21 08:40:00,Ninguno,0
